Timestamp,Pixel_Count,Max_Brightness,Image_Filename,Width,Height,Particle_Type,Probability
2026-09-24 00:04:58.333571,4,179,artefacts_1790187598.png,3,2,artefacts,99.4%
2026-09-24 00:06:05.903785,6,255,artefacts_1790187665.png,3,3,artefacts,6.9%
2026-09-24 01:29:02.568724,4,225,artefacts_1790192642.png,3,2,artefacts,3.1%
2026-09-24 01:34:02.511919,5,175,artefacts_1790192942.png,3,4,artefacts,75.4%
2026-09-24 02:43:12.711867,9,255,tracks_1790197092.png,7,4,tracks,83.6%
2026-09-24 04:12:59.046995,9,255,worms_1790202479.png,4,4,worms,21.1%
2026-09-24 04:52:21.145795,5,218,artefacts_1790204841.png,3,3,artefacts,40.3%
2026-09-24 05:11:40.557619,13,255,artefacts_1790206000.png,4,4,artefacts,97.7%
2026-09-24 05:57:55.091856,4,255,artefacts_1790208775.png,3,2,artefacts,0.8%
2026-09-24 06:43:03.029568,4,220,artefacts_1790211483.png,2,3,artefacts,4.0%
2026-09-24 07:35:27.937862,18,255,worms_1790214627.png,11,7,worms,58.2%
2026-09-24 07:51:59.844601,5,255,worms_1790215619.png,3,3,worms,43.9%
2026-09-24 08:06:26.291663,10,255,worms_1790216486.png,5,4,worms,61.8%
2026-09-24 10:36:43.115183,8,243,artefacts_1790225503.png,4,3,artefacts,19.2%
2026-09-24 10:38:33.767729,4,255,worms_1790225613.png,2,4,worms,36.8%
2026-09-24 11:30:59.147079,4,244,worms_1790228759.png,3,3,worms,22.7%
2026-09-24 14:27:05.537462,13,255,artefacts_1790239325.png,5,3,artefacts,82.9%
2026-09-24 14:48:11.763780,5,252,worms_1790240591.png,3,3,worms,20.1%
2026-09-24 15:21:59.736222,11,247,worms_1790242619.png,3,4,worms,47.3%
2026-09-24 15:41:28.300254,9,255,tracks_1790243788.png,2,6,tracks,69.7%
2026-09-24 16:08:51.067661,8,255,worms_1790245431.png,3,5,worms,54.9%
2026-09-24 17:38:26.824782,7,255,worms_1790250806.png,3,3,worms,25.0%
2026-09-24 19:21:01.287491,4,200,artefacts_1790256961.png,3,2,artefacts,0.7%
2026-09-24 21:28:58.422615,6,250,worms_1790264638.png,3,3,worms,28.3%
2026-09-24 21:36:32.877992,7,227,worms_1790265092.png,2,5,worms,45.1%
2026-09-24 21:45:51.380421,13,255,worms_1790265651.png,4,4,worms,45.6%
2026-09-24 22:35:08.805380,5,156,tracks_1790268608.png,1,5,tracks,88.7%
2026-09-24 23:45:14.566055,8,255,worms_1790272814.png,4,3,worms,47.5%
